UNITID,INSTNM,ADDR,CITY,STABBR,ZIP,FIPS,OBEREG,CHFNM,CHFTITLE,GENTELE,EIN,OPEID,OPEFLAG,WEBADDR,ADMINURL,FAIDURL,APPLURL,SECTOR,ICLEVEL,CONTROL,HLOFFER,UGOFFER,GROFFER,FPOFFER,HDEGOFFR,DEGGRANT,HBCU,HOSPITAL,MEDICAL,TRIBAL,LOCALE,OPENPUBL,ACT,NEWID,DEATHYR,CLOSEDAT,CYACTIVE,POSTSEC,PSEFLAG,PSET4FLG,RPTMTH,IALIAS,INSTCAT,CCBASIC,CCIPUG,CCIPGRAD,CCUGPROF,CCENRPRF,CCSIZSET,CARNEGIE,TENURSYS,LANDGRNT,INSTSIZE,CBSA,CBSATYPE,CSA,NECTA,DFRCGID 
100636,Community College of the Air Force,130 W Maxwell Blvd,Montgomery,AL,36112-6613,1,0,Raymond W. Staats,Commandant,3349532223,-1,1230800,3,www.maxwell.af.mil/au/ccaf/, , , ,4,2,1,3,1,2,2,40,1,2,-1,2,2,12,0,A ,-2,-2,-2,1,1,2,6,1,CCAF,4,8,0,0,0,0,0,40,-1,2,-1,33860,1,388,-2,-2
100654,Alabama A & M University,4900 Meridian St,Normal,AL,35762,1,5,Dr. Robert  R. Jennings,President,2563725000,636001109,100200,1,www.aamu.edu/, , , ,1,1,1,9,1,1,2,10,1,1,2,2,2,12,1,A ,-2,-2,-2,1,1,1,1,1, ,2,18,13,17,9,4,13,16,1,1,3,26620,1,290,-2,146
100663,University of Alabama at Birmingham,Administration Bldg Suite 1070,Birmingham,AL,35294-0110,1,5,Carol Z. Garrison,President,2059344011,636005396,105200,1,www.uab.edu,main.uab.edu/sites/apply/apply/,main.uab.edu/sites/apply/financial_aid/,main.uab.edu/show.asp?durki=63936,1,1,1,9,1,1,1,11,1,2,1,1,2,12,1,A ,-2,-2,-2,1,1,1,1,1, ,2,15,11,17,8,5,15,15,1,2,4,13820,1,142,-2,135
100690,Amridge University,1200 Taylor Rd,Montgomery,AL,36117-3553,1,5,Rex Turner Jr,President,3.34388E+13,237034324,2503400,1,www.southernchristian.edu, , , ,2,1,2,9,1,1,1,11,1,2,2,2,2,12,1,A ,-2,-2,-2,1,1,1,1,1, ,2,24,-2,-2,-2,5,-2,51,2,2,1,33860,1,388,-2,193
100706,University of Alabama in Huntsville,301 Sparkman Dr,Huntsville,AL,35899,1,5,David B. Williams,President,2568246120,630520830,105500,1,www.uah.edu,admissions.uah.edu/,finaid.uah.edu/,www.applyweb.com/apply/uah/indexa.html,1,1,1,9,1,1,2,10,1,2,2,2,2,12,1,A ,-2,-2,-2,1,1,1,1,1,UAH |University of Alabama Huntsville |Unversity of Alabama at Huntsville,2,16,14,17,8,4,12,16,1,2,3,26620,1,290,-2,138
100724,Alabama State University,915 S Jackson Street,Montgomery,AL,36101-0271,1,5,Joe A. Lee,President,3342294400,636001101,100500,1,www.alasu.edu,www.alasu.edu/admissions,www.alasu.edu/financial_aid,https://hornetsweb.alasu.edu,1,1,1,9,1,1,2,10,1,1,2,2,2,12,1,A ,-2,-2,-2,1,1,1,1,1, ,2,18,13,13,9,4,13,21,1,2,3,33860,1,388,-2,147
100733,University of Alabama System Office,401 Queen City Ave,Tuscaloosa,AL,35401,1,5,Malcolm Portera,Chancellor,2053489731,-1,001055A1,2,www.uasystem.ua.edu, , , ,0,1,1,9,1,1,1,11,1,2,2,-2,2,13,1,A ,-2,-2,-2,1,1,1,1,-2, ,-2,-3,-3,-3,-3,-3,-3,-3,2,2,-2,46220,1,-2,-2,-2
100751,The University of Alabama,739 University Blvd,Tuscaloosa,AL,35487-0166,1,5,Robert E. Witt,President,2053486010,636001138,105100,1,www.ua.edu/, , , ,1,1,1,9,1,1,1,11,1,2,2,2,2,12,1,A ,-2,-2,-2,1,1,1,1,1, ,2,16,14,15,11,4,15,15,1,2,5,13820,1,142,-2,137
100760,Central Alabama Community College,1675 Cherokee Rd,Alexander City,AL,35010,1,5,Linda McGuirt,Interim President,2562346346,631022757,100700,1,www.cacc.cc.al.us, , , ,4,2,1,3,1,2,2,40,1,2,2,2,2,41,1,A ,-2,-2,-2,1,1,1,1,1, ,4,2,1,-1,2,1,2,40,1,2,2,10760,2,388,-2,82
100812,Athens State University,300 N Beaty St,Athens,AL,35611,1,5,Jerry Bartlett,President,2562338100,630701340,100800,1,www.athens.edu,www.athens.edu,www.athens.edu,www.athens.edu,1,1,1,5,1,2,2,30,1,2,2,2,2,31,1,A ,-2,-2,-2,1,1,1,1,1, ,2,22,12,-1,5,2,9,32,1,2,2,26620,1,290,-2,174
