stu_id,x1sex,x1race,x1stdob,x1txmtscor,x1paredu,x1hhnumber,x1famincome,x1poverty185,x1ses,x1stuedexpct,x1paredexpct,x1region,x4hscompstat,x4evratndclg,x4hs2psmos
10001,1,8,199502,59.371,5,3,10,0,1.5644,8,6,2,1,1,3
10002,2,8,199511,47.6821,3,6,3,1,-0.3699,11,6,1,1,1,3
10003,2,3,199506,64.2431,7,3,6,0,1.2741,10,10,4,1,1,4
10004,2,8,199505,49.269,4,2,5,0,0.5498,10,10,3,1,0,-7
10005,1,8,199505,62.5897,4,4,9,0,0.1495,6,10,3,1,0,-7
10006,2,8,199504,58.1268,3,6,5,0,1.0639,10,8,3,-8,-8,-8
10007,2,8,199409,49.496,2,2,4,0,-0.43,8,11,1,1,1,2
10008,1,8,199410,54.6249,7,3,7,0,1.5144,8,6,1,1,1,3
10009,1,8,199501,53.1875,2,3,4,0,-0.3103,11,11,3,1,1,8
10010,2,8,199503,63.7986,3,4,4,0,0.0451,8,6,1,-8,-8,-8
10011,1,8,199506,56.5005,5,6,5,0,1.2058,8,6,3,-8,-8,-8
10012,2,8,199502,67.6823,7,5,13,0,2.4996,11,11,2,1,1,3
10013,1,8,199509,66.6624,7,4,13,0,2.5668,8,10,3,1,1,2
10014,2,3,199203,32.4783,2,2,2,1,-0.8837,2,6,3,3,0,-7
10015,2,8,199408,53.4016,4,3,11,0,0.9973,11,10,3,1,1,2
10016,2,8,199505,63.3795,3,4,3,0,0.0686,4,6,2,1,1,3
10018,1,8,199411,63.9808,7,5,4,0,1.3989,6,7,2,1,1,3
10019,1,5,199506,53.8914,-8,-8,-8,-8,-0.0106,8,-8,2,1,1,2
10020,1,8,199411,48.4647,3,4,2,1,-0.2746,8,8,4,1,1,3
10021,1,8,199501,54.1491,2,3,10,0,0.4235,8,11,2,1,1,3
10022,1,2,199410,57.9257,5,4,13,0,1.4372,10,8,4,1,1,3
10024,1,8,199504,56.238,5,5,4,0,0.1402,6,8,2,1,1,2
10025,1,8,199402,37.7725,-8,-8,-8,-8,-0.1901,8,-8,4,3,0,-7
10026,2,2,199503,66.894,7,4,4,0,1.1142,7,10,3,1,1,2
10027,2,8,199508,47.5236,4,5,5,0,0.0887,11,6,1,1,1,7
10028,1,-9,199500,-8,-8,-8,-8,-8,-8,-8,-8,3,-8,-8,-8
10029,1,8,199405,34.9344,1,3,3,0,-0.8297,2,2,2,-8,-8,-8
10030,2,8,199412,70.8013,5,4,7,0,1.5809,6,8,3,1,1,2
10031,2,3,199500,-8,-8,-8,-8,-8,-8,-8,-8,4,-8,-8,-8
10033,2,6,199503,28.9385,2,4,3,1,-0.6008,11,4,3,-8,-8,-8
10034,2,5,199411,44.3582,-8,-8,-8,-8,-0.0409,4,-8,2,3,1,24
10035,1,3,199300,-8,2,2,3,0,-8,-8,11,2,-8,-8,-8
10036,2,8,199503,56.6409,3,7,5,0,0.1493,8,6,2,1,1,3
10037,2,8,199506,62.7847,3,4,5,0,0.5238,8,8,3,1,1,3
10038,1,2,199507,33.6149,4,4,7,0,1.0472,6,4,4,-8,-8,-8
10039,2,2,199410,65.5911,4,7,6,0,0.6753,8,10,3,1,1,2
10040,1,8,199411,30.1157,-8,-8,-8,-8,-0.082,10,-8,4,1,1,-9
10041,2,8,199312,33.5529,2,2,2,0,-0.7046,3,1,3,1,0,-7
10042,1,8,199311,46.8918,-8,-8,-8,-8,-0.0821,6,-8,3,-8,-8,-8
10043,2,8,199407,46.9388,-8,-8,-8,-8,-0.3642,6,-8,2,1,1,3
10044,1,8,199409,67.1436,7,4,13,0,1.3291,10,10,3,1,1,3
10045,2,8,199501,45.1566,3,5,3,0,-0.2739,4,4,2,2,1,26
10046,2,8,199409,47.4921,-8,-8,-8,-8,-0.1707,11,-8,1,1,1,3
10047,1,-9,199500,-8,-8,-8,-8,-8,-8,-8,-8,3,-8,-8,-8
10048,2,8,199308,48.3878,-8,-8,-8,-8,-0.2888,4,-8,3,-8,-8,-8
10049,2,5,199506,62.5559,5,4,6,0,0.3972,8,8,4,1,1,3
10050,2,8,199508,31.7241,2,3,1,1,-1.1012,2,11,1,1,1,1
10052,2,8,199503,38.5212,-8,-8,-8,-8,-0.5433,11,-8,3,-8,-8,-8
10053,1,8,199411,54.806,4,3,6,0,0.9842,10,6,3,-8,-8,-8
10054,2,6,199505,48.8039,2,4,3,0,-0.2606,8,8,4,-8,-8,-8
10055,1,2,199412,69.24,5,4,7,0,1.4132,8,8,2,-8,-8,-8
10056,2,8,199508,56.8163,2,4,1,1,-0.7901,6,11,2,1,1,20
10057,2,-9,199500,-8,-8,-8,-8,-8,-8,-8,-8,3,-8,-8,-8
10058,2,2,199410,54.9576,4,4,6,0,0.5511,11,6,1,1,1,3
10059,1,-9,199400,-8,-8,-8,-8,-8,-8,-8,-8,3,-8,-8,-8
10060,1,5,199409,55.0993,1,2,7,0,-0.0058,10,10,3,1,1,2
10061,1,2,199505,64.4295,-8,-8,-8,-8,1.165,11,-8,2,1,1,3
10062,1,6,199507,48.5401,2,8,2,1,-0.7022,10,3,2,1,0,-7
10063,1,5,199505,49.8739,-8,-8,-8,-8,-0.6763,6,-8,3,1,1,14
10064,2,8,199510,50.3536,2,5,4,0,-0.1112,11,6,2,1,1,3
10065,2,8,199409,45.847,2,4,3,1,-0.5381,6,10,3,1,0,-7
10066,1,8,199406,43.6624,2,6,5,0,-0.3694,2,6,2,-8,-8,-8
